,id,imdb_id,title,recommendations
0,8844,tt0113497,Jumanji,"[133977  14237  10069  11849  82690  59484    879   8765  56931  68591
 151870  45169   4442  80215  45572  60760  30653  11884  11551  36557
 257344]"
1,15602,tt0113228,Grumpier Old Men,"[ 11520  27472  18080  56435  46732  76002  36133    987   1377  95854
   1888   2619  29825  59142  11356  10833  10443 166879  46029  72412
  42229]"
2,31357,tt0114885,Waiting to Exhale,"[ 21539  18169 448449  41469  33644  13969   4927  25636  10712   4475
 236041  41780 120942  16980  22958  49934  20364  38073  41556  52696
 308165]"
3,11862,tt0113041,Father of the Bride Part II,"[ 11846  14603  96243   8388  10678  10671  33754 333348   6523  11215
 101307  75964  30903  30966 284294  16281    838  17205  46953  85648
 118534]"
4,949,tt0113277,Heat,"[ 15542   9008  13389  11524   6075    968  13012    240  13536    242
 139567  34746   5236   9366   2034   9910  69785  23168    320  12633
    103]"
5,11860,tt0114319,Sabrina,"[ 33657  12618  38868  81871  74529 120520  15875  34444 252067   6068
   9489  10236    592 168217  11033  11145  94623  10642  22897  12658
   3114]"
6,45325,tt0112302,Tom and Huck,"[ 11074  42473  53027  23570  13965  21142  29339  43037   9591   5255
  76891 425488 104711  44695   5769   1552  14597 270010  75141  28969
  33454]"
7,9091,tt0114576,Sudden Death,"[ 10222  20411   9103  13672 449503  11667 127521   9924   8831   9594
 146631   2019  19277  24411  76163  10596 256687  10861 122857  28510
  10908]"
8,710,tt0113189,GoldenEye,"[ 36669    709    667    253  36557  28975  36670  36643    714    700
  10764    681    646    660    682 334074  12208    708    707    699
    691]"
9,9087,tt0112346,The American President,"[ 12220  31459  20324  12778  26686 128154  38923 119675  15128  82966
  11821  11004  10673  15598  40929  41927  76853   7326   8346  28553
  26655]"
10,10858,tt0113987,Nixon,"[189215  25783 461805  20674   1966  12509  18633 240745  12690  34193
  22905  38828    853  10741  11450  41843  67866  80853  12149 152259
   2428]"
11,1408,tt0112760,Cutthroat Island,"[ 17897  12450  11398  83361  37848 142150   9954   6399  12651  10204
  28881  15163  33796   9340  24965    172   6473 120509    157   7364
  11412]"
12,524,tt0112641,Casino,"[   311    769    203   1607    240  36288   1578   9013    262 187219
  55676  45712  14883    103  13536  32077  75145  31692  12637  37774
   2001]"
13,4584,tt0114388,Sense and Sensibility,"[283227   4348  22279  37516     38   1245    508    142  53896 330483
  67307  10209  43818  25994 252067 118309  12568 116014   9499 112885
  10449]"
14,5,tt0113101,Four Rooms,"[  4043  78320  84066    918   3172  11890 273248  11199   2469  38560
 277967 333385  51995 289727   8219 107255  24241 146216  53172  39514
 204810]"
15,11517,tt0113845,Money Train,"[10158 11045 19176  5851 11384 34769 49524  8333 11048 37835 39349 61462
 41209 11808  4474  2001 46059 29355 32081  9968  7516]"
16,8012,tt0113161,Get Shorty,"[  4551  27620  17496  10410  11088   3595  27381    249  10782    586
  31597  37774  20306  11982    680 277967  47423  37943  31606   9275
    943]"
17,1710,tt0112722,Copycat,"[ 10909  90843  48118  84071  20511 278772  51512  13389  30308  14452
  62837 335640   8080 325039 240733 393562  67810  36786  51806  10531
 227735]"
18,9691,tt0112401,Assassins,"[  2207   8834  48153  76163  39514    943   8068  11088  31692 107978
   1369  38828  21610   9581    942  65374   9972   8333  14979  15375
  23916]"
19,12665,tt0114168,Powder,"[ 12994 416688   1551 193288  39195  47260  38828   1954  41759 149509
 198287   9741  10668  27112  49521  11559  24750  27864  57012  10163
    922]"
